date,purchases,revenue,total_views,unique_invoices,unique_streams,year_month
2017-11-01,0,0.0,0,0,0,2017-11
2017-11-02,0,0.0,0,0,0,2017-11
2017-11-03,0,0.0,0,0,0,2017-11
2017-11-04,0,0.0,0,0,0,2017-11
2017-11-05,0,0.0,0,0,0,2017-11
2017-11-06,0,0.0,0,0,0,2017-11
2017-11-07,0,0.0,0,0,0,2017-11
2017-11-08,0,0.0,0,0,0,2017-11
2017-11-09,0,0.0,0,0,0,2017-11
2017-11-10,0,0.0,0,0,0,2017-11
2017-11-11,0,0.0,0,0,0,2017-11
2017-11-12,0,0.0,0,0,0,2017-11
2017-11-13,0,0.0,0,0,0,2017-11
2017-11-14,0,0.0,0,0,0,2017-11
2017-11-15,0,0.0,0,0,0,2017-11
2017-11-16,0,0.0,0,0,0,2017-11
2017-11-17,0,0.0,0,0,0,2017-11
2017-11-18,0,0.0,0,0,0,2017-11
2017-11-19,0,0.0,0,0,0,2017-11
2017-11-20,0,0.0,0,0,0,2017-11
2017-11-21,0,0.0,0,0,0,2017-11
2017-11-22,0,0.0,0,0,0,2017-11
2017-11-23,0,0.0,0,0,0,2017-11
2017-11-24,0,0.0,0,0,0,2017-11
2017-11-25,0,0.0,0,0,0,2017-11
2017-11-26,0,0.0,0,0,0,2017-11
2017-11-27,0,0.0,0,0,0,2017-11
2017-11-28,3223,14450.54,15047,166,1345,2017-11
2017-11-29,3277,13411.96,14159,133,1397,2017-11
2017-11-30,3002,13290.25,15766,150,1335,2017-11
2017-12-01,2559,9687.28,12524,107,1256,2017-12
2017-12-02,402,1443.2600000000002,3313,32,287,2017-12
2017-12-03,1942,6432.9400000000005,8544,90,977,2017-12
2017-12-04,2869,13137.5,12751,123,1354,2017-12
2017-12-05,2440,9467.01,12604,170,1196,2017-12
2017-12-06,2470,11268.54,10510,114,1308,2017-12
2017-12-07,2492,10976.6,11985,123,1229,2017-12
2017-12-08,1542,4898.32,7922,121,876,2017-12
2017-12-09,0,0.0,0,0,0,2017-12
2017-12-10,1776,4982.87,8521,77,980,2017-12
2017-12-11,4117,19866.98,17017,122,1596,2017-12
2017-12-12,2004,10012.130000000001,11127,123,1031,2017-12
2017-12-13,3216,15879.66,14280,106,1421,2017-12
2017-12-14,1965,7701.58,9505,162,1067,2017-12
2017-12-15,2057,10970.560000000001,8973,84,1123,2017-12
2017-12-16,0,0.0,0,0,0,2017-12
2017-12-17,637,1964.79,4013,40,468,2017-12
2017-12-18,645,2846.58,3212,52,467,2017-12
2017-12-19,2053,13350.100000000002,5218,203,1146,2017-12
2017-12-20,540,2268.31,3028,32,377,2017-12
2017-12-21,0,0.0,0,0,0,2017-12
2017-12-22,0,0.0,0,0,0,2017-12
2017-12-23,0,0.0,0,0,0,2017-12
2017-12-24,0,0.0,0,0,0,2017-12
2017-12-25,0,0.0,0,0,0,2017-12
2017-12-26,0,0.0,0,0,0,2017-12
2017-12-27,0,0.0,0,0,0,2017-12
2017-12-28,0,0.0,0,0,0,2017-12
2017-12-29,0,0.0,0,0,0,2017-12
2017-12-30,0,0.0,0,0,0,2017-12
2017-12-31,0,0.0,0,0,0,2017-12
2018-01-01,668,1966.55,3005,70,521,2018-01
2018-01-02,938,3061.2700000000004,5603,46,634,2018-01
2018-01-03,294,965.8500000000001,1994,14,250,2018-01
2018-01-04,1065,3373.16,8499,87,695,2018-01
2018-01-05,719,4979.93,5463,49,505,2018-01
2018-01-06,0,0.0,0,0,0,2018-01
2018-01-07,704,2080.1,4702,37,489,2018-01
2018-01-08,2688,14429.4,8682,74,1082,2018-01
2018-01-09,1107,3799.58,5678,65,775,2018-01
2018-01-10,1644,11600.810000000001,5706,64,927,2018-01
2018-01-11,2230,12228.630000000001,9615,87,1062,2018-01
2018-01-12,662,2084.96,4534,53,441,2018-01
2018-01-13,0,0.0,0,0,0,2018-01
2018-01-14,1116,3438.3100000000004,5700,41,684,2018-01
2018-01-15,1908,8908.330000000002,6112,50,1008,2018-01
2018-01-16,1859,7847.691000000001,8924,51,1068,2018-01
2018-01-17,1224,7021.91,5168,80,810,2018-01
2018-01-18,1228,3854.5999999999995,7288,88,780,2018-01
2018-01-19,1520,9419.02,8369,77,888,2018-01
2018-01-20,0,0.0,0,0,0,2018-01
2018-01-21,1271,4022.23,5892,52,706,2018-01
2018-01-22,1699,7017.8099999999995,7689,72,920,2018-01
2018-01-23,1588,15461.13,8009,168,853,2018-01
2018-01-24,1560,6385.55,7649,85,887,2018-01
2018-01-25,1254,3804.1400000000003,7821,83,752,2018-01
2018-01-26,1209,23966.841,6193,82,718,2018-01
2018-01-27,0,0.0,0,0,0,2018-01
2018-01-28,1400,3953.5600000000004,7490,58,796,2018-01
2018-01-29,1399,7421.111000000001,6337,82,841,2018-01
2018-01-30,1177,4616.53,7143,60,744,2018-01
2018-01-31,1551,5971.3910000000005,7229,150,949,2018-01
2018-02-01,1590,4837.9,8239,143,894,2018-02
2018-02-02,1077,4328.16,5556,147,710,2018-02
2018-02-03,0,0.0,0,0,0,2018-02
2018-02-04,844,2310.46,3803,35,558,2018-02
2018-02-05,1373,6838.37,6617,75,789,2018-02
2018-02-06,1058,3607.21,6954,58,670,2018-02
2018-02-07,884,4111.6900000000005,2974,38,627,2018-02
2018-02-08,871,2901.1500000000005,4781,101,554,2018-02
2018-02-09,824,3009.9700000000003,4153,75,612,2018-02
2018-02-10,0,0.0,0,0,0,2018-02
2018-02-11,1194,3554.9900000000002,6478,51,710,2018-02
2018-02-12,899,5680.741,6991,55,571,2018-02
