date,purchases,revenue,total_views,unique_invoices,unique_streams,year_month
2017-11-01,0,0.0,0,0,0,2017-11
2017-11-02,0,0.0,0,0,0,2017-11
2017-11-03,0,0.0,0,0,0,2017-11
2017-11-04,0,0.0,0,0,0,2017-11
2017-11-05,0,0.0,0,0,0,2017-11
2017-11-06,0,0.0,0,0,0,2017-11
2017-11-07,0,0.0,0,0,0,2017-11
2017-11-08,0,0.0,0,0,0,2017-11
2017-11-09,0,0.0,0,0,0,2017-11
2017-11-10,0,0.0,0,0,0,2017-11
2017-11-11,0,0.0,0,0,0,2017-11
2017-11-12,0,0.0,0,0,0,2017-11
2017-11-13,0,0.0,0,0,0,2017-11
2017-11-14,0,0.0,0,0,0,2017-11
2017-11-15,0,0.0,0,0,0,2017-11
2017-11-16,0,0.0,0,0,0,2017-11
2017-11-17,0,0.0,0,0,0,2017-11
2017-11-18,0,0.0,0,0,0,2017-11
2017-11-19,0,0.0,0,0,0,2017-11
2017-11-20,0,0.0,0,0,0,2017-11
2017-11-21,0,0.0,0,0,0,2017-11
2017-11-22,0,0.0,0,0,0,2017-11
2017-11-23,0,0.0,0,0,0,2017-11
2017-11-24,0,0.0,0,0,0,2017-11
2017-11-25,0,0.0,0,0,0,2017-11
2017-11-26,0,0.0,0,0,0,2017-11
2017-11-27,0,0.0,0,0,0,2017-11
2017-11-28,86,375.99,545,3,83,2017-11
2017-11-29,0,0.0,0,0,0,2017-11
2017-11-30,33,194.22000000000003,192,1,33,2017-11
2017-12-01,0,0.0,0,0,0,2017-12
2017-12-02,0,0.0,0,0,0,2017-12
2017-12-03,0,0.0,0,0,0,2017-12
2017-12-04,64,484.65000000000003,403,4,61,2017-12
2017-12-05,30,97.35000000000001,255,5,30,2017-12
2017-12-06,0,0.0,0,0,0,2017-12
2017-12-07,19,133.31,104,1,19,2017-12
2017-12-08,2,20.9,7,2,2,2017-12
2017-12-09,0,0.0,0,0,0,2017-12
2017-12-10,14,96.24000000000001,126,1,14,2017-12
2017-12-11,5,17.7,7,1,5,2017-12
2017-12-12,100,435.58,733,2,89,2017-12
2017-12-13,49,153.41,359,1,49,2017-12
2017-12-14,2,1606.5,1,2,1,2017-12
2017-12-15,156,733.5999999999999,1132,5,134,2017-12
2017-12-16,0,0.0,0,0,0,2017-12
2017-12-17,1,5.95,0,1,1,2017-12
2017-12-18,35,77.69000000000001,408,1,35,2017-12
2017-12-19,0,0.0,0,0,0,2017-12
2017-12-20,0,0.0,0,0,0,2017-12
2017-12-21,0,0.0,0,0,0,2017-12
2017-12-22,0,0.0,0,0,0,2017-12
2017-12-23,0,0.0,0,0,0,2017-12
2017-12-24,0,0.0,0,0,0,2017-12
2017-12-25,0,0.0,0,0,0,2017-12
2017-12-26,0,0.0,0,0,0,2017-12
2017-12-27,0,0.0,0,0,0,2017-12
2017-12-28,0,0.0,0,0,0,2017-12
2017-12-29,0,0.0,0,0,0,2017-12
2017-12-30,0,0.0,0,0,0,2017-12
2017-12-31,0,0.0,0,0,0,2017-12
2018-01-01,2,14.0,4,1,2,2018-01
2018-01-02,0,0.0,0,0,0,2018-01
2018-01-03,0,0.0,0,0,0,2018-01
2018-01-04,163,466.55000000000007,1826,5,158,2018-01
2018-01-05,33,2463.67,260,4,31,2018-01
2018-01-06,0,0.0,0,0,0,2018-01
2018-01-07,0,0.0,0,0,0,2018-01
2018-01-08,1,10.95,8,1,1,2018-01
2018-01-09,0,0.0,0,0,0,2018-01
2018-01-10,3,1874.42,9,3,1,2018-01
2018-01-11,0,0.0,0,0,0,2018-01
2018-01-12,0,0.0,0,0,0,2018-01
2018-01-13,0,0.0,0,0,0,2018-01
2018-01-14,0,0.0,0,0,0,2018-01
2018-01-15,0,0.0,0,0,0,2018-01
2018-01-16,49,209.52,320,1,49,2018-01
2018-01-17,8,2277.02,41,5,6,2018-01
2018-01-18,74,247.63,759,1,74,2018-01
2018-01-19,124,3644.4900000000002,930,6,118,2018-01
2018-01-20,0,0.0,0,0,0,2018-01
2018-01-21,0,0.0,0,0,0,2018-01
2018-01-22,23,146.12,172,1,23,2018-01
2018-01-23,14,1682.4699999999998,13,14,1,2018-01
2018-01-24,0,0.0,0,0,0,2018-01
2018-01-25,62,182.52,524,1,62,2018-01
2018-01-26,0,0.0,0,0,0,2018-01
2018-01-27,0,0.0,0,0,0,2018-01
2018-01-28,24,60.8,254,1,24,2018-01
2018-01-29,0,0.0,0,0,0,2018-01
2018-01-30,107,1545.5800000000002,999,5,100,2018-01
2018-01-31,0,0.0,0,0,0,2018-01
2018-02-01,0,0.0,0,0,0,2018-02
2018-02-02,0,0.0,0,0,0,2018-02
2018-02-03,0,0.0,0,0,0,2018-02
2018-02-04,34,65.28,436,1,34,2018-02
2018-02-05,23,865.3000000000001,132,3,22,2018-02
2018-02-06,0,0.0,0,0,0,2018-02
2018-02-07,0,0.0,0,0,0,2018-02
2018-02-08,0,0.0,0,0,0,2018-02
2018-02-09,0,0.0,0,0,0,2018-02
2018-02-10,0,0.0,0,0,0,2018-02
2018-02-11,22,89.69,215,1,22,2018-02
2018-02-12,10,28.770000000000003,40,2,10,2018-02
2018-02-13,53,138.18,241,2,53,2018-02
2018-02-14,101,386.05000000000007,909,3,99,2018-02
2018-02-15,2,11.549999999999999,5,2,2,2018-02
2018-02-16,0,0.0,0,0,0,2018-02
2018-02-17,0,0.0,0,0,0,2018-02
2018-02-18,39,178.85,295,1,39,2018-02
2018-02-19,11,61.190000000000005,132,1,11,2018-02
