date,purchases,revenue,total_views,unique_invoices,unique_streams,year_month
2017-11-01,0,0.0,0,0,0,2017-11
2017-11-02,0,0.0,0,0,0,2017-11
2017-11-03,0,0.0,0,0,0,2017-11
2017-11-04,0,0.0,0,0,0,2017-11
2017-11-05,0,0.0,0,0,0,2017-11
2017-11-06,0,0.0,0,0,0,2017-11
2017-11-07,0,0.0,0,0,0,2017-11
2017-11-08,0,0.0,0,0,0,2017-11
2017-11-09,0,0.0,0,0,0,2017-11
2017-11-10,0,0.0,0,0,0,2017-11
2017-11-11,0,0.0,0,0,0,2017-11
2017-11-12,0,0.0,0,0,0,2017-11
2017-11-13,0,0.0,0,0,0,2017-11
2017-11-14,0,0.0,0,0,0,2017-11
2017-11-15,0,0.0,0,0,0,2017-11
2017-11-16,0,0.0,0,0,0,2017-11
2017-11-17,0,0.0,0,0,0,2017-11
2017-11-18,0,0.0,0,0,0,2017-11
2017-11-19,0,0.0,0,0,0,2017-11
2017-11-20,0,0.0,0,0,0,2017-11
2017-11-21,0,0.0,0,0,0,2017-11
2017-11-22,0,0.0,0,0,0,2017-11
2017-11-23,0,0.0,0,0,0,2017-11
2017-11-24,0,0.0,0,0,0,2017-11
2017-11-25,0,0.0,0,0,0,2017-11
2017-11-26,0,0.0,0,0,0,2017-11
2017-11-27,0,0.0,0,0,0,2017-11
2017-11-28,41,134.25,343,3,38,2017-11
2017-11-29,29,120.02,240,2,28,2017-11
2017-11-30,31,98.15,121,2,30,2017-11
2017-12-01,32,184.73,184,2,32,2017-12
2017-12-02,0,0.0,0,0,0,2017-12
2017-12-03,23,76.38,227,1,23,2017-12
2017-12-04,6,14.959999999999999,55,2,6,2017-12
2017-12-05,36,179.6,141,3,33,2017-12
2017-12-06,0,0.0,0,0,0,2017-12
2017-12-07,8,32.2,12,2,4,2017-12
2017-12-08,0,0.0,0,0,0,2017-12
2017-12-09,0,0.0,0,0,0,2017-12
2017-12-10,76,237.22,645,3,71,2017-12
2017-12-11,0,0.0,0,0,0,2017-12
2017-12-12,0,0.0,0,0,0,2017-12
2017-12-13,0,0.0,0,0,0,2017-12
2017-12-14,0,0.0,0,0,0,2017-12
2017-12-15,0,0.0,0,0,0,2017-12
2017-12-16,0,0.0,0,0,0,2017-12
2017-12-17,46,81.33,498,1,46,2017-12
2017-12-18,9,41.5,58,1,9,2017-12
2017-12-19,0,0.0,0,0,0,2017-12
2017-12-20,0,0.0,0,0,0,2017-12
2017-12-21,0,0.0,0,0,0,2017-12
2017-12-22,0,0.0,0,0,0,2017-12
2017-12-23,0,0.0,0,0,0,2017-12
2017-12-24,0,0.0,0,0,0,2017-12
2017-12-25,0,0.0,0,0,0,2017-12
2017-12-26,0,0.0,0,0,0,2017-12
2017-12-27,0,0.0,0,0,0,2017-12
2017-12-28,0,0.0,0,0,0,2017-12
2017-12-29,0,0.0,0,0,0,2017-12
2017-12-30,0,0.0,0,0,0,2017-12
2017-12-31,0,0.0,0,0,0,2017-12
2018-01-01,0,0.0,0,0,0,2018-01
2018-01-02,0,0.0,0,0,0,2018-01
2018-01-03,0,0.0,0,0,0,2018-01
2018-01-04,38,55.99,495,1,38,2018-01
2018-01-05,125,501.1899999999999,1210,3,121,2018-01
2018-01-06,0,0.0,0,0,0,2018-01
2018-01-07,0,0.0,0,0,0,2018-01
2018-01-08,0,0.0,0,0,0,2018-01
2018-01-09,0,0.0,0,0,0,2018-01
2018-01-10,44,490.62000000000006,306,3,44,2018-01
2018-01-11,0,0.0,0,0,0,2018-01
2018-01-12,0,0.0,0,0,0,2018-01
2018-01-13,0,0.0,0,0,0,2018-01
2018-01-14,0,0.0,0,0,0,2018-01
2018-01-15,0,0.0,0,0,0,2018-01
2018-01-16,75,249.66000000000003,592,3,67,2018-01
2018-01-17,0,0.0,0,0,0,2018-01
2018-01-18,0,0.0,0,0,0,2018-01
2018-01-19,0,0.0,0,0,0,2018-01
2018-01-20,0,0.0,0,0,0,2018-01
2018-01-21,0,0.0,0,0,0,2018-01
2018-01-22,0,0.0,0,0,0,2018-01
2018-01-23,29,121.65999999999998,273,2,29,2018-01
2018-01-24,0,0.0,0,0,0,2018-01
2018-01-25,0,0.0,0,0,0,2018-01
2018-01-26,0,0.0,0,0,0,2018-01
2018-01-27,0,0.0,0,0,0,2018-01
2018-01-28,25,45.910000000000004,264,1,25,2018-01
2018-01-29,0,0.0,0,0,0,2018-01
2018-01-30,0,0.0,0,0,0,2018-01
2018-01-31,29,99.83999999999999,266,1,29,2018-01
2018-02-01,1,51.0,1,1,1,2018-02
2018-02-02,0,0.0,0,0,0,2018-02
2018-02-03,0,0.0,0,0,0,2018-02
2018-02-04,50,106.15,476,1,50,2018-02
2018-02-05,0,0.0,0,0,0,2018-02
2018-02-06,159,384.03,1558,5,146,2018-02
2018-02-07,0,0.0,0,0,0,2018-02
2018-02-08,68,305.15000000000003,473,5,56,2018-02
2018-02-09,18,112.49000000000001,152,1,18,2018-02
2018-02-10,0,0.0,0,0,0,2018-02
2018-02-11,0,0.0,0,0,0,2018-02
2018-02-12,0,0.0,0,0,0,2018-02
2018-02-13,0,0.0,0,0,0,2018-02
2018-02-14,0,0.0,0,0,0,2018-02
2018-02-15,0,0.0,0,0,0,2018-02
2018-02-16,0,0.0,0,0,0,2018-02
2018-02-17,0,0.0,0,0,0,2018-02
2018-02-18,0,0.0,0,0,0,2018-02
2018-02-19,1,1.25,2,1,1,2018-02
2018-02-20,57,223.27999999999997,494,3,56,2018-02
