date,purchases,revenue,total_views,unique_invoices,unique_streams,year_month
2017-11-01,0,0.0,0,0,0,2017-11
2017-11-02,0,0.0,0,0,0,2017-11
2017-11-03,0,0.0,0,0,0,2017-11
2017-11-04,0,0.0,0,0,0,2017-11
2017-11-05,0,0.0,0,0,0,2017-11
2017-11-06,0,0.0,0,0,0,2017-11
2017-11-07,0,0.0,0,0,0,2017-11
2017-11-08,0,0.0,0,0,0,2017-11
2017-11-09,0,0.0,0,0,0,2017-11
2017-11-10,0,0.0,0,0,0,2017-11
2017-11-11,0,0.0,0,0,0,2017-11
2017-11-12,0,0.0,0,0,0,2017-11
2017-11-13,0,0.0,0,0,0,2017-11
2017-11-14,0,0.0,0,0,0,2017-11
2017-11-15,0,0.0,0,0,0,2017-11
2017-11-16,0,0.0,0,0,0,2017-11
2017-11-17,0,0.0,0,0,0,2017-11
2017-11-18,0,0.0,0,0,0,2017-11
2017-11-19,0,0.0,0,0,0,2017-11
2017-11-20,0,0.0,0,0,0,2017-11
2017-11-21,0,0.0,0,0,0,2017-11
2017-11-22,0,0.0,0,0,0,2017-11
2017-11-23,0,0.0,0,0,0,2017-11
2017-11-24,0,0.0,0,0,0,2017-11
2017-11-25,0,0.0,0,0,0,2017-11
2017-11-26,0,0.0,0,0,0,2017-11
2017-11-27,0,0.0,0,0,0,2017-11
2017-11-28,44,139.02999999999997,367,1,44,2017-11
2017-11-29,2,4.6,5,1,2,2017-11
2017-11-30,3,12.850000000000001,2,1,3,2017-11
2017-12-01,0,0.0,0,0,0,2017-12
2017-12-02,0,0.0,0,0,0,2017-12
2017-12-03,13,49.2,98,1,13,2017-12
2017-12-04,44,151.98000000000002,444,3,39,2017-12
2017-12-05,0,0.0,0,0,0,2017-12
2017-12-06,44,376.7,422,4,41,2017-12
2017-12-07,0,0.0,0,0,0,2017-12
2017-12-08,5,13.350000000000001,13,2,5,2017-12
2017-12-09,0,0.0,0,0,0,2017-12
2017-12-10,4,30.32,34,1,4,2017-12
2017-12-11,190,489.39,1724,6,143,2017-12
2017-12-12,0,0.0,0,0,0,2017-12
2017-12-13,0,0.0,0,0,0,2017-12
2017-12-14,1,3.25,1,1,1,2017-12
2017-12-15,23,105.39,109,5,21,2017-12
2017-12-16,0,0.0,0,0,0,2017-12
2017-12-17,17,66.0,134,1,17,2017-12
2017-12-18,25,76.67999999999999,273,1,25,2017-12
2017-12-19,0,0.0,0,0,0,2017-12
2017-12-20,5,7.049999999999999,10,1,5,2017-12
2017-12-21,0,0.0,0,0,0,2017-12
2017-12-22,0,0.0,0,0,0,2017-12
2017-12-23,0,0.0,0,0,0,2017-12
2017-12-24,0,0.0,0,0,0,2017-12
2017-12-25,0,0.0,0,0,0,2017-12
2017-12-26,0,0.0,0,0,0,2017-12
2017-12-27,0,0.0,0,0,0,2017-12
2017-12-28,0,0.0,0,0,0,2017-12
2017-12-29,0,0.0,0,0,0,2017-12
2017-12-30,0,0.0,0,0,0,2017-12
2017-12-31,0,0.0,0,0,0,2017-12
2018-01-01,3,16.29,8,1,3,2018-01
2018-01-02,0,0.0,0,0,0,2018-01
2018-01-03,0,0.0,0,0,0,2018-01
2018-01-04,14,47.55,66,2,14,2018-01
2018-01-05,0,0.0,0,0,0,2018-01
2018-01-06,0,0.0,0,0,0,2018-01
2018-01-07,0,0.0,0,0,0,2018-01
2018-01-08,34,111.49,213,4,33,2018-01
2018-01-09,89,259.45000000000005,871,4,80,2018-01
2018-01-10,40,144.57,347,2,40,2018-01
2018-01-11,47,154.92,334,3,46,2018-01
2018-01-12,8,23.27,26,2,8,2018-01
2018-01-13,0,0.0,0,0,0,2018-01
2018-01-14,0,0.0,0,0,0,2018-01
2018-01-15,2,6.7,6,1,2,2018-01
2018-01-16,2,3.64,4,1,2,2018-01
2018-01-17,0,0.0,0,0,0,2018-01
2018-01-18,0,0.0,0,0,0,2018-01
2018-01-19,131,352.31,1161,2,122,2018-01
2018-01-20,0,0.0,0,0,0,2018-01
2018-01-21,40,104.07,332,1,40,2018-01
2018-01-22,11,34.7,22,1,11,2018-01
2018-01-23,86,408.53000000000003,841,12,76,2018-01
2018-01-24,0,0.0,0,0,0,2018-01
2018-01-25,9,32.75,20,3,9,2018-01
2018-01-26,0,0.0,0,0,0,2018-01
2018-01-27,0,0.0,0,0,0,2018-01
2018-01-28,99,288.78000000000003,757,1,99,2018-01
2018-01-29,39,126.25999999999999,365,2,38,2018-01
2018-01-30,1,0.85,3,1,1,2018-01
2018-01-31,4,5.3,30,2,4,2018-01
2018-02-01,17,48.38,152,2,17,2018-02
2018-02-02,47,154.83,173,2,45,2018-02
2018-02-03,0,0.0,0,0,0,2018-02
2018-02-04,7,43.1,43,1,7,2018-02
2018-02-05,60,212.97000000000006,490,3,54,2018-02
2018-02-06,90,277.80999999999995,780,5,78,2018-02
2018-02-07,15,53.260000000000005,126,1,15,2018-02
2018-02-08,17,41.8,138,3,17,2018-02
2018-02-09,48,103.82,427,3,48,2018-02
2018-02-10,0,0.0,0,0,0,2018-02
2018-02-11,0,0.0,0,0,0,2018-02
2018-02-12,50,161.72,321,2,49,2018-02
2018-02-13,3,10.850000000000001,6,1,3,2018-02
2018-02-14,2,1.7,4,1,2,2018-02
2018-02-15,10,20.56,102,1,10,2018-02
2018-02-16,0,0.0,0,0,0,2018-02
2018-02-17,0,0.0,0,0,0,2018-02
2018-02-18,0,0.0,0,0,0,2018-02
2018-02-19,1,3.75,2,1,1,2018-02
2018-02-20,26,79.65,157,7,25,2018-02
