date,purchases,revenue,total_views,unique_invoices,unique_streams,year_month
2017-11-01,0,0.0,0,0,0,2017-11
2017-11-02,0,0.0,0,0,0,2017-11
2017-11-03,0,0.0,0,0,0,2017-11
2017-11-04,0,0.0,0,0,0,2017-11
2017-11-05,0,0.0,0,0,0,2017-11
2017-11-06,0,0.0,0,0,0,2017-11
2017-11-07,0,0.0,0,0,0,2017-11
2017-11-08,0,0.0,0,0,0,2017-11
2017-11-09,0,0.0,0,0,0,2017-11
2017-11-10,0,0.0,0,0,0,2017-11
2017-11-11,0,0.0,0,0,0,2017-11
2017-11-12,0,0.0,0,0,0,2017-11
2017-11-13,0,0.0,0,0,0,2017-11
2017-11-14,0,0.0,0,0,0,2017-11
2017-11-15,0,0.0,0,0,0,2017-11
2017-11-16,0,0.0,0,0,0,2017-11
2017-11-17,0,0.0,0,0,0,2017-11
2017-11-18,0,0.0,0,0,0,2017-11
2017-11-19,0,0.0,0,0,0,2017-11
2017-11-20,0,0.0,0,0,0,2017-11
2017-11-21,0,0.0,0,0,0,2017-11
2017-11-22,0,0.0,0,0,0,2017-11
2017-11-23,0,0.0,0,0,0,2017-11
2017-11-24,0,0.0,0,0,0,2017-11
2017-11-25,0,0.0,0,0,0,2017-11
2017-11-26,0,0.0,0,0,0,2017-11
2017-11-27,0,0.0,0,0,0,2017-11
2017-11-28,2953,13281.120000000003,12922,154,1291,2017-11
2017-11-29,3217,13222.970000000001,13650,125,1389,2017-11
2017-11-30,2911,12941.5,15243,144,1318,2017-11
2017-12-01,2443,9163.07,11652,100,1221,2017-12
2017-12-02,370,1263.2800000000002,3101,31,263,2017-12
2017-12-03,1888,6229.110000000001,8096,87,964,2017-12
2017-12-04,2684,12189.79,11202,110,1301,2017-12
2017-12-05,2283,8892.27,11906,157,1151,2017-12
2017-12-06,2423,10886.989999999998,10071,108,1292,2017-12
2017-12-07,2403,10651.38,11572,116,1192,2017-12
2017-12-08,1535,4864.07,7902,117,875,2017-12
2017-12-09,0,0.0,0,0,0,2017-12
2017-12-10,1678,4568.2,7685,71,935,2017-12
2017-12-11,3851,19097.67,14845,113,1568,2017-12
2017-12-12,1896,9518.670000000002,10331,119,1000,2017-12
2017-12-13,3137,15610.170000000002,13689,101,1409,2017-12
2017-12-14,1944,6003.740000000001,9346,157,1062,2017-12
2017-12-15,1732,9560.02,6557,71,1011,2017-12
2017-12-16,0,0.0,0,0,0,2017-12
2017-12-17,573,1811.5100000000002,3381,37,418,2017-12
2017-12-18,576,2650.71,2473,49,427,2017-12
2017-12-19,2032,13254.54,5056,202,1136,2017-12
2017-12-20,328,1580.29,1089,29,286,2017-12
2017-12-21,0,0.0,0,0,0,2017-12
2017-12-22,0,0.0,0,0,0,2017-12
2017-12-23,0,0.0,0,0,0,2017-12
2017-12-24,0,0.0,0,0,0,2017-12
2017-12-25,0,0.0,0,0,0,2017-12
2017-12-26,0,0.0,0,0,0,2017-12
2017-12-27,0,0.0,0,0,0,2017-12
2017-12-28,0,0.0,0,0,0,2017-12
2017-12-29,0,0.0,0,0,0,2017-12
2017-12-30,0,0.0,0,0,0,2017-12
2017-12-31,0,0.0,0,0,0,2017-12
2018-01-01,663,1936.2599999999998,2993,68,520,2018-01
2018-01-02,938,3061.2700000000004,5603,46,634,2018-01
2018-01-03,294,965.8500000000001,1994,14,250,2018-01
2018-01-04,846,2777.02,6108,78,586,2018-01
2018-01-05,533,1893.67,3793,41,380,2018-01
2018-01-06,0,0.0,0,0,0,2018-01
2018-01-07,676,1969.56,4464,36,475,2018-01
2018-01-08,2605,12781.810000000001,7931,63,1057,2018-01
2018-01-09,1017,3535.13,4806,60,730,2018-01
2018-01-10,1552,7670.26,5034,51,892,2018-01
2018-01-11,2141,11974.439999999999,8905,83,1022,2018-01
2018-01-12,554,1699.27,3715,45,375,2018-01
2018-01-13,0,0.0,0,0,0,2018-01
2018-01-14,1116,3438.3100000000004,5700,41,684,2018-01
2018-01-15,1879,8679.829999999998,5934,48,993,2018-01
2018-01-16,1639,7036.981,7538,44,990,2018-01
2018-01-17,1207,4729.54,5001,74,809,2018-01
2018-01-18,1095,3402.06,5824,85,712,2018-01
2018-01-19,1186,5207.34,5568,66,766,2018-01
2018-01-20,0,0.0,0,0,0,2018-01
2018-01-21,1231,3918.16,5560,51,685,2018-01
2018-01-22,1650,6752.709999999999,7339,69,905,2018-01
2018-01-23,1345,12331.51,5821,124,783,2018-01
2018-01-24,1443,6081.76,6878,82,835,2018-01
2018-01-25,1182,3580.92,7277,78,724,2018-01
2018-01-26,1207,23937.590999999997,6180,81,717,2018-01
2018-01-27,0,0.0,0,0,0,2018-01
2018-01-28,1244,3462.62,6146,53,723,2018-01
2018-01-29,1258,5286.951,5185,71,795,2018-01
2018-01-30,1040,2957.9,5982,53,670,2018-01
2018-01-31,1442,5672.790999999999,6276,143,899,2018-01
2018-02-01,1551,4645.72,7915,139,878,2018-02
2018-02-02,1030,4173.33,5383,145,686,2018-02
2018-02-03,0,0.0,0,0,0,2018-02
2018-02-04,742,2059.98,2761,31,517,2018-02
2018-02-05,1204,4642.32,5245,64,738,2018-02
2018-02-06,784,2815.79,4454,47,543,2018-02
2018-02-07,861,3983.1600000000003,2764,35,617,2018-02
2018-02-08,766,2480.81,3959,92,504,2018-02
2018-02-09,757,2792.8100000000004,3570,70,583,2018-02
2018-02-10,0,0.0,0,0,0,2018-02
2018-02-11,1157,3437.5499999999997,6119,49,698,2018-02
2018-02-12,710,2084.441,5475,46,459,2018-02
