invoice_date,purchases,unique_invoices,total_views,unique_streams,revenue
2017-11-28,86,3,545,83,375.99
2017-11-30,33,1,192,33,194.2199999999999
2017-12-04,64,4,403,61,484.64999999999986
2017-12-05,30,5,255,30,97.35000000000002
2017-12-07,19,1,104,19,133.31
2017-12-08,2,2,7,2,20.9
2017-12-10,14,1,126,14,96.24000000000001
2017-12-11,5,1,7,5,17.7
2017-12-12,100,2,733,89,435.5799999999998
2017-12-13,49,1,359,49,153.41
2017-12-14,2,2,1,1,1606.5
2017-12-15,156,5,1132,134,733.6000000000001
2017-12-17,1,1,0,1,5.95
2017-12-18,35,1,408,35,77.69000000000003
2018-01-01,2,1,4,2,14.0
2018-01-04,163,5,1826,158,466.54999999999995
2018-01-05,33,4,260,31,2463.67
2018-01-08,1,1,8,1,10.95
2018-01-10,3,3,9,1,1874.42
2018-01-16,49,1,320,49,209.52
2018-01-17,8,5,41,6,2277.0199999999995
2018-01-18,74,1,759,74,247.62999999999977
2018-01-19,124,6,930,118,3644.489999999998
2018-01-22,23,1,172,23,146.11999999999998
2018-01-23,14,14,13,1,1682.4699999999998
2018-01-25,62,1,524,62,182.51999999999992
2018-01-28,24,1,254,24,60.800000000000004
2018-01-30,107,5,999,100,1545.5800000000022
2018-02-04,34,1,436,34,65.28000000000002
2018-02-05,23,3,132,22,865.3000000000001
2018-02-11,22,1,215,22,89.69000000000003
2018-02-12,10,2,40,10,28.770000000000003
2018-02-13,53,2,241,53,138.18
2018-02-14,101,3,909,99,386.05
2018-02-15,2,2,5,2,11.549999999999999
2018-02-18,39,1,295,39,178.85
2018-02-19,11,1,132,11,61.19
2018-02-21,120,4,907,113,427.7699999999999
2018-02-28,103,5,1088,96,271.15999999999997
2018-03-01,67,2,530,62,297.84000000000003
2018-03-02,17,2,179,17,11.13
2018-03-06,6,2,14,6,69.25
2018-03-07,36,2,202,36,189.00999999999996
2018-03-09,36,1,316,36,174.55999999999995
2018-03-12,71,2,495,70,281.16999999999973
2018-03-13,1,1,4,1,3.75
2018-03-14,19,1,112,19,113.53000000000002
2018-03-15,42,2,328,42,215.43999999999988
2018-03-16,58,1,415,58,260.5099999999998
2018-03-19,33,1,315,33,90.57000000000002
2018-03-20,16,1,100,16,107.75000000000001
2018-03-21,31,9,122,27,1972.2800000000007
2018-03-22,91,2,543,81,369.5299999999997
2018-03-23,31,1,222,31,164.94999999999996
2018-03-27,81,3,559,81,365.5699999999999
2018-04-04,15,1,122,15,74.54000000000002
2018-04-09,51,3,521,51,153.23999999999998
2018-04-10,42,3,516,42,98.62000000000002
2018-04-11,53,1,526,53,130.95999999999998
2018-04-16,101,3,906,94,384.0500000000001
2018-04-17,36,1,288,36,154.41000000000005
2018-04-19,63,3,553,61,245.87999999999997
2018-04-22,40,1,250,40,197.44999999999993
2018-04-23,103,4,909,99,1057.4900000000005
2018-04-24,1,1,2,1,12.75
2018-04-26,79,2,620,78,321.02999999999975
2018-04-27,51,2,421,45,100.76
2018-04-29,42,1,385,42,111.37000000000003
2018-05-01,68,5,560,67,685.3400000000004
2018-05-03,196,2,1355,182,671.1200000000002
2018-05-06,165,3,1530,160,625.0900000000004
2018-05-07,54,2,356,53,315.7599999999998
2018-05-08,55,1,434,55,173.22999999999993
2018-05-10,24,1,281,24,79.69000000000001
2018-05-11,2,1,4,2,10.15
2018-05-14,56,1,415,56,191.9
2018-05-16,2,1,2,2,8.44
2018-05-17,28,2,180,27,226.84999999999994
2018-05-18,24,1,202,24,134.95000000000002
2018-05-21,30,1,243,30,138.22000000000006
2018-05-22,1,1,2,1,5.55
2018-05-23,69,1,509,69,266.06000000000006
2018-05-31,74,3,724,67,229.22999999999996
2018-06-07,2,1,7,2,3.9000000000000004
2018-06-08,70,2,563,66,316.88999999999993
2018-06-11,144,3,1156,136,651.0800000000002
2018-06-12,50,2,532,50,126.85000000000001
2018-06-13,7,1,36,7,77.2
2018-06-14,50,3,332,50,171.75000000000006
2018-06-17,5,1,72,5,29.119999999999997
2018-06-19,12,1,130,12,70.15
2018-06-20,83,3,546,76,487.23999999999984
2018-06-21,36,2,237,34,194.44999999999996
2018-06-22,40,1,271,40,208.76999999999998
2018-06-26,7,1,50,7,34.8
2018-06-27,71,6,467,68,530.9499999999998
2018-06-28,55,1,443,55,141.82999999999998
2018-07-02,13,1,137,13,104.25
2018-07-03,17,1,183,17,32.95
2018-07-04,108,3,971,105,320.55999999999983
2018-07-06,102,3,891,102,345.71
2018-07-09,41,2,304,40,258.7099999999999
2018-07-10,90,2,734,87,336.8300000000001
2018-07-11,82,4,691,76,350.4599999999999
2018-07-12,9,1,107,9,23.37
2018-07-13,54,5,442,52,252.65
2018-07-15,20,1,139,20,137.6
2018-07-16,1,1,1,1,8.5
2018-07-17,32,1,254,32,189.99999999999994
2018-07-18,1,1,2,1,12.8
2018-07-22,8,2,23,7,36.25
2018-07-23,11,3,81,10,1276.02
2018-07-24,17,1,161,17,112.54
2018-07-26,1,1,3,1,29.95
2018-07-27,33,2,246,33,108.52000000000001
2018-07-31,59,2,535,59,196.14999999999995
2018-08-02,77,1,322,73,314.57999999999987
2018-08-03,1,1,1,1,8.5
2018-08-05,21,1,206,21,55.60000000000001
2018-08-06,16,2,108,16,115.65
2018-08-08,2,2,3,2,77.27
2018-08-09,25,2,190,25,68.3
2018-08-10,28,1,194,28,136.09
2018-08-12,73,3,660,68,327.73
2018-08-15,69,2,815,65,179.14
2018-08-16,36,4,273,35,203.11
2018-08-17,67,4,514,61,357.2699999999999
2018-08-19,52,1,451,52,139.92
2018-08-20,48,3,361,46,163.31999999999994
2018-08-21,14,2,116,14,89.99000000000001
2018-08-23,25,1,175,25,135.26999999999998
2018-08-28,67,2,498,67,292.33999999999986
2018-08-29,1,1,0,1,1.45
2018-08-30,30,1,180,30,123.5
2018-09-02,50,1,429,49,152.36999999999995
2018-09-03,20,1,114,20,130.5
2018-09-04,52,1,493,52,108.39000000000006
2018-09-05,66,2,461,66,417.84999999999985
2018-09-06,2,1,4,2,2.17
2018-09-09,5,1,30,5,6.38
2018-09-10,39,3,410,39,128.74
2018-09-12,26,1,368,26,63.00000000000002
2018-09-13,63,2,462,61,245.81999999999996
2018-09-14,1,1,2,1,1.65
2018-09-17,95,4,867,87,771.7800000000007
2018-09-18,100,6,1008,93,260.76999999999987
2018-09-20,29,1,267,29,123.94000000000003
2018-09-23,11,1,68,11,81.30000000000003
2018-09-24,171,6,1350,113,573.8700000000002
2018-09-25,102,2,929,99,317.38999999999976
2018-09-26,35,7,253,31,1632.0200000000002
2018-09-27,113,4,1010,106,2798.71
2018-09-30,240,5,2558,211,652.2100000000005
2018-10-01,13,2,81,13,111.70000000000002
2018-10-02,29,4,243,27,5022.74
2018-10-03,39,2,314,38,223.35000000000002
2018-10-05,29,2,183,29,178.7199999999999
2018-10-08,55,1,372,55,176.32999999999987
2018-10-10,26,2,120,20,212.94999999999996
2018-10-11,164,3,1314,148,600.2600000000002
2018-10-14,63,1,518,63,300.9999999999998
2018-10-15,78,3,531,74,418.5499999999998
2018-10-16,73,4,548,71,283.5499999999999
2018-10-17,18,2,125,18,103.72000000000001
2018-10-18,156,8,1512,131,679.7200000000003
2018-10-19,53,5,310,52,1868.9200000000008
2018-10-22,54,2,435,53,220.82000000000002
2018-10-23,130,4,1146,126,520.0199999999998
2018-10-24,150,2,1521,145,429.8799999999996
2018-10-25,77,7,602,70,8086.08
2018-10-29,48,2,412,46,189.82999999999993
2018-10-30,6,1,11,6,20.25
2018-10-31,73,3,580,68,362.57999999999976
2018-11-01,40,2,388,39,111.19000000000004
2018-11-02,104,7,947,69,394.91999999999996
2018-11-04,17,1,149,17,57.32000000000001
2018-11-05,39,1,344,39,183.44000000000005
2018-11-06,81,3,765,81,267.00999999999993
2018-11-07,48,2,433,46,118.24999999999997
2018-11-08,1,1,3,1,9.95
2018-11-09,51,3,489,49,313.4099999999999
2018-11-12,262,5,1982,253,956.5100000000016
2018-11-13,94,3,845,89,356.88
2018-11-15,64,3,609,62,243.71999999999994
2018-11-16,35,2,223,35,210.29999999999998
2018-11-18,30,3,205,29,205.92
2018-11-19,7,1,60,7,77.25000000000001
2018-11-20,39,4,293,38,257.96
2018-11-21,4,3,8,4,39.4
2018-11-23,41,2,348,41,182.33999999999992
2018-11-26,37,2,252,37,282.53999999999996
2018-11-28,42,2,345,21,267.28
2018-11-29,6,2,23,3,22.5
2018-11-30,170,3,1481,84,677.5200000000009
2018-12-03,72,3,639,34,430.79999999999984
2018-12-06,64,1,435,32,339.2999999999998
2018-12-07,51,1,333,51,240.3499999999999
2018-12-13,23,2,207,23,88.61000000000001
2018-12-14,68,2,570,60,352.75999999999993
2018-12-16,18,1,130,18,112.75000000000001
2018-12-17,21,2,46,21,86.81000000000002
2018-12-18,29,1,192,29,127.4
2018-12-20,16,2,111,15,95.75
2019-01-02,15,1,40,15,89.77
2019-01-06,13,1,85,13,83.70000000000002
2019-01-07,1,1,3,1,3.75
2019-01-11,41,1,425,41,128.18999999999994
2019-01-15,10,1,105,10,73.67
2019-01-17,21,1,241,21,66.35
2019-01-21,15,1,47,15,145.19
2019-01-23,52,1,497,52,124.07000000000005
2019-01-24,21,1,161,21,139.92000000000002
2019-01-29,45,1,372,45,140.36000000000004
2019-01-30,1,1,4,1,3.75
2019-01-31,40,1,254,40,222.80999999999995
2019-02-01,13,1,75,13,106.05
2019-02-05,2,1,3,2,19.9
2019-02-11,114,2,1125,108,339.6899999999998
2019-02-12,133,2,708,129,364.22999999999996
2019-02-14,14,1,87,14,91.24000000000001
2019-02-15,10,1,61,10,82.50000000000001
2019-02-18,47,2,380,46,159.76999999999998
2019-02-20,15,1,161,15,88.07
2019-02-22,6,1,14,6,25.0
2019-02-26,6,1,66,6,25.0
2019-02-28,1,1,2,1,0.85
2019-03-01,75,2,671,70,235.9699999999999
2019-03-07,63,4,686,63,255.5699999999998
2019-03-08,4,4,9,1,6748.68
2019-03-11,102,3,707,99,448.10999999999984
2019-03-12,96,3,920,95,389.9399999999997
2019-03-14,26,2,303,26,81.44
2019-03-15,44,1,259,44,211.11999999999995
2019-03-17,11,1,73,11,79.19999999999999
2019-03-21,16,1,114,16,106.2
2019-03-22,43,1,359,43,118.91000000000003
2019-03-24,3,1,5,3,24.79
2019-03-25,39,1,357,39,167.63999999999993
2019-03-26,27,1,227,27,126.50000000000001
2019-03-28,9,1,45,9,79.39999999999999
2019-03-29,67,1,537,67,231.62999999999988
2019-04-01,29,2,239,29,141.14
2019-04-03,65,1,541,65,177.4699999999999
2019-04-04,33,2,286,33,139.57
2019-04-08,61,2,457,61,218.69
2019-04-14,25,1,135,25,168.14000000000004
2019-04-16,21,1,196,21,93.71000000000002
2019-04-24,5,1,46,5,58.5
2019-04-30,68,2,482,68,289.30999999999983
2019-05-02,24,2,194,23,115.22999999999999
2019-05-03,20,1,201,20,75.37
2019-05-05,49,1,386,49,154.83
2019-05-07,38,3,289,37,146.04999999999998
2019-05-12,18,1,130,18,142.29000000000002
2019-05-13,138,4,1163,125,525.5799999999997
2019-05-14,50,3,319,50,223.87
2019-05-15,60,1,440,60,238.57999999999987
2019-05-16,46,2,368,46,262.8999999999999
2019-05-17,23,1,173,23,133.43999999999997
2019-05-20,52,1,380,52,210.5599999999999
2019-05-21,2,1,6,2,14.45
2019-05-23,29,4,233,27,124.14000000000001
2019-05-29,1,1,1,1,7.5
2019-06-03,45,1,297,45,221.2
2019-06-04,13,1,142,13,78.69
2019-06-05,65,2,711,65,123.75000000000001
2019-06-06,48,2,432,47,228.89000000000001
2019-06-10,42,1,322,42,139.06999999999996
2019-06-12,31,2,367,31,67.92000000000002
2019-06-13,33,1,223,33,187.93999999999994
2019-06-14,33,1,272,33,183.43
2019-06-16,14,1,70,14,115.07000000000001
2019-06-17,4,3,8,1,6266.24
2019-06-18,43,3,76,40,178.92000000000004
2019-06-19,47,2,414,43,217.27000000000004
2019-06-20,22,4,158,21,114.80000000000001
2019-06-21,73,5,646,71,1325.0900000000001
2019-06-24,46,2,327,42,178.44
2019-06-26,80,3,709,78,253.6699999999999
2019-06-27,30,1,237,30,92.16000000000003
2019-06-28,55,3,440,54,295.20999999999987
2019-07-01,56,3,457,56,225.8299999999999
2019-07-02,7,1,21,7,137.5
2019-07-05,1,1,2,1,12.75
2019-07-11,76,3,578,74,359.1899999999998
2019-07-15,85,2,817,85,146.98000000000005
2019-07-16,158,5,1595,143,596.6899999999999
2019-07-18,41,3,431,39,204.04999999999993
2019-07-23,10,2,85,10,73.02000000000001
2019-07-24,24,2,272,24,47.61999999999999
2019-07-25,80,3,754,61,375.1499999999998
2019-07-26,25,1,220,24,95.19
2019-07-28,99,2,1007,98,205.83999999999966
