invoice_date,purchases,unique_invoices,total_views,unique_streams,revenue
2017-11-28,41,3,343,38,134.25
2017-11-29,29,2,240,28,120.02000000000002
2017-11-30,31,2,121,30,98.15000000000002
2017-12-01,32,2,184,32,184.72999999999993
2017-12-03,23,1,227,23,76.38
2017-12-04,6,2,55,6,14.96
2017-12-05,36,3,141,33,179.6
2017-12-07,8,2,12,4,32.2
2017-12-10,76,3,645,71,237.2199999999999
2017-12-17,46,1,498,46,81.32999999999998
2017-12-18,9,1,58,9,41.5
2018-01-04,38,1,495,38,55.99
2018-01-05,125,3,1210,121,501.1899999999998
2018-01-10,44,3,306,44,490.6199999999999
2018-01-16,75,3,592,67,249.65999999999988
2018-01-23,29,2,273,29,121.66
2018-01-28,25,1,264,25,45.910000000000004
2018-01-31,29,1,266,29,99.84000000000002
2018-02-01,1,1,1,1,51.0
2018-02-04,50,1,476,50,106.14999999999999
2018-02-06,159,5,1558,146,384.0299999999997
2018-02-08,68,5,473,56,305.1499999999998
2018-02-09,18,1,152,18,112.49000000000001
2018-02-19,1,1,2,1,1.25
2018-02-20,57,3,494,56,223.2799999999999
2018-02-22,20,1,204,20,58.15
2018-02-26,37,1,336,37,92.27999999999999
2018-02-27,68,3,545,65,291.81000000000006
2018-02-28,21,3,161,20,68.93
2018-03-01,12,1,106,12,40.65000000000001
2018-03-02,19,1,164,19,65.79
2018-03-05,4,1,9,4,11.500000000000002
2018-03-06,45,2,391,41,145.36999999999995
2018-03-07,4,1,8,4,12.7
2018-03-09,27,2,143,26,109.45000000000005
2018-03-12,50,1,456,50,131.40999999999997
2018-03-15,61,1,505,61,168.37999999999988
2018-03-21,33,2,344,32,102.56999999999998
2018-03-22,10,1,100,10,26.620000000000005
2018-03-23,4,1,4,4,24.8
2018-03-27,4,1,11,4,12.399999999999999
2018-03-29,26,1,271,26,60.1
2018-04-04,9,1,87,9,19.080000000000002
2018-04-06,25,2,211,23,96.05000000000001
2018-04-11,53,2,437,47,196.16000000000003
2018-04-13,5,1,72,5,2.76
2018-04-18,49,1,429,49,135.87
2018-04-19,2,1,8,2,3.38
2018-04-20,12,1,60,12,61.7
2018-04-25,69,2,679,68,178.12000000000006
2018-04-26,3,1,10,3,12.15
2018-05-03,174,5,1833,152,465.52000000000004
2018-05-04,47,2,445,44,133.74999999999997
2018-05-07,15,1,115,15,40.36
2018-05-08,27,1,283,27,53.410000000000004
2018-05-09,20,1,163,20,62.489999999999995
2018-05-10,35,2,295,35,106.87999999999998
2018-05-11,2,1,5,2,4.6
2018-05-13,21,1,234,21,63.2
2018-05-16,2,1,7,2,4.2
2018-05-18,12,1,133,12,49.65
2018-05-23,73,2,506,72,270.0799999999999
2018-05-25,4,2,24,3,3.8000000000000003
2018-05-29,10,1,92,10,23.8
2018-05-30,20,3,154,18,84.14999999999999
2018-05-31,29,4,245,26,109.41000000000001
2018-06-01,16,1,100,16,52.620000000000005
2018-06-03,32,1,311,32,90.04000000000003
2018-06-06,5,1,57,5,22.0
2018-06-07,34,4,276,31,131.89
2018-06-08,37,1,355,37,119.68999999999998
2018-06-11,41,2,404,41,123.31000000000002
2018-06-14,72,1,712,72,140.59000000000006
2018-06-19,35,1,295,35,88.99999999999999
2018-06-21,23,1,206,23,79.63000000000002
2018-06-26,52,4,423,48,187.23999999999992
2018-06-27,39,1,415,39,95.88
2018-06-28,23,1,158,23,83.08
2018-07-02,39,3,353,39,92.11999999999998
2018-07-03,6,1,74,6,15.55
2018-07-04,16,1,172,16,53.5
2018-07-12,57,3,481,47,210.39999999999998
2018-07-18,3,1,5,3,10.45
2018-07-19,23,1,253,23,53.709999999999994
2018-07-20,53,1,552,53,162.40999999999988
2018-07-22,8,1,69,8,36.61
2018-07-24,76,2,210,66,138.21000000000004
2018-07-25,37,2,397,35,139.50000000000006
2018-07-26,20,4,135,19,3871.4
2018-08-01,10,1,98,10,34.150000000000006
2018-08-02,8,2,20,8,42.15
2018-08-06,84,2,943,84,160.85000000000002
2018-08-12,10,1,101,10,31.559999999999995
2018-08-20,22,1,270,22,32.69
2018-08-22,72,3,528,67,308.36999999999983
2018-08-28,17,2,121,17,39.08
2018-08-29,9,1,14,9,38.550000000000004
2018-08-30,81,6,638,69,2507.3499999999995
2018-08-31,45,2,356,41,156.85000000000002
2018-09-02,8,1,90,8,27.05
2018-09-03,24,1,230,24,59.34000000000001
2018-09-04,17,1,143,17,52.34
2018-09-05,15,1,128,15,52.59
2018-09-06,179,4,1563,144,521.8099999999997
2018-09-07,3,1,7,3,32.65
2018-09-10,2,1,5,2,22.7
2018-09-11,35,2,313,34,120.99000000000002
2018-09-12,1,1,1,1,18.0
2018-09-13,4,1,41,4,21.35
2018-09-14,1,1,0,1,4.95
2018-09-17,14,3,88,12,84.11
2018-09-19,36,1,302,36,98.3
2018-09-20,60,3,711,60,169.39999999999995
2018-09-25,45,1,79,45,6.809999999999999
2018-09-26,2,1,5,2,3.4
2018-09-27,33,3,311,32,90.34000000000002
2018-09-30,42,2,472,38,102.92
2018-10-01,27,2,262,26,56.11
2018-10-02,10,1,83,10,60.8
2018-10-07,47,1,424,47,122.27000000000001
2018-10-08,92,3,851,89,212.5699999999999
2018-10-09,50,3,359,46,248.56999999999994
2018-10-10,43,2,431,40,129.42999999999998
2018-10-11,133,4,1038,69,320.88999999999976
2018-10-12,27,2,214,26,99.91
2018-10-17,16,3,151,16,60.059999999999995
2018-10-18,2,1,1,2,11.399999999999999
2018-10-19,52,3,472,52,181.48999999999992
2018-10-21,92,3,293,88,211.1
2018-10-22,3,2,7,3,16.549999999999997
2018-10-23,68,2,281,65,131.74000000000004
2018-10-26,5,1,31,5,12.55
2018-10-29,2,1,3,2,7.5
2018-10-30,30,1,306,30,85.85000000000001
2018-11-04,31,2,252,29,109.89
2018-11-05,4,2,6,4,19.299999999999997
2018-11-06,109,5,947,100,405.5199999999996
2018-11-07,10,1,93,10,49.849999999999994
2018-11-08,101,2,302,82,228.58999999999986
2018-11-09,21,2,144,21,37.86000000000001
2018-11-11,14,1,145,14,13.35
2018-11-13,118,4,1074,109,361.4899999999998
2018-11-14,12,1,123,12,29.82
2018-11-16,139,7,1261,108,613.5899999999999
2018-11-18,54,3,336,51,186.55999999999995
2018-11-19,79,2,754,79,196.49999999999986
2018-11-20,124,4,455,119,206.52999999999977
2018-11-23,112,4,914,99,318.2200000000001
2018-11-26,18,2,164,16,33.25
2018-11-27,11,2,64,11,60.85
2018-11-28,40,1,534,20,110.58000000000001
2018-11-30,46,2,414,22,179.7599999999999
2018-12-02,126,1,918,63,574.3800000000001
2018-12-04,122,2,1035,60,364.88000000000017
2018-12-05,22,1,153,11,81.42000000000002
2018-12-06,186,5,1751,84,588.66
2018-12-07,16,1,156,16,58.5
2018-12-12,67,1,134,67,117.72000000000007
2018-12-13,3,3,9,2,6.25
2018-12-14,11,2,100,10,56.09
2018-12-17,62,2,549,60,188.83
2018-12-18,5,2,26,5,175.39
2018-12-19,4,1,80,4,4.74
2019-01-02,76,4,655,66,255.27999999999992
2019-01-03,47,3,315,44,235.54999999999993
2019-01-04,37,2,296,34,155.81
2019-01-06,9,1,78,9,20.2
2019-01-07,50,1,466,50,148.73
2019-01-08,30,4,253,27,128.14
2019-01-09,63,4,532,60,241.26999999999992
2019-01-11,91,3,891,82,224.52999999999986
2019-01-14,21,1,241,21,74.83000000000001
2019-01-16,31,1,289,31,96.66
2019-01-17,73,2,649,73,227.81999999999996
2019-01-18,3,1,6,3,5.45
2019-01-20,12,1,90,12,60.4
2019-01-21,9,1,79,9,20.549999999999997
2019-01-22,4,3,9,4,24.75
2019-01-24,3,1,6,3,5.45
2019-01-25,51,3,372,47,239.79999999999984
2019-01-28,65,3,637,63,188.76999999999992
2019-01-29,19,1,165,19,82.05000000000001
2019-01-30,29,2,280,28,108.49000000000002
2019-02-01,63,1,570,63,157.94
2019-02-05,14,1,139,14,30.590000000000003
2019-02-06,27,1,234,27,86.13
2019-02-07,13,1,146,13,28.709999999999997
2019-02-11,1,1,1,1,0.42
2019-02-12,12,2,102,11,63.2
2019-02-13,49,2,538,48,91.31999999999998
2019-02-14,16,1,116,16,57.70000000000001
2019-02-15,55,3,579,55,130.38
2019-02-18,41,2,320,40,151.42999999999995
2019-02-19,3,2,1,3,7.9
2019-02-20,21,2,245,21,49.33
2019-02-24,5,1,50,5,23.85
2019-02-25,58,4,462,54,215.39999999999995
2019-02-26,59,2,497,56,184.88999999999993
2019-02-28,30,2,273,29,104.76000000000003
2019-03-01,16,1,114,16,66.85
2019-03-04,1,1,0,1,0.85
2019-03-05,3,1,8,3,13.85
2019-03-08,20,1,179,20,94.95
2019-03-10,18,1,160,18,53.820000000000014
2019-03-11,21,1,166,21,92.10000000000001
2019-03-12,30,2,272,30,76.27000000000001
2019-03-13,16,2,113,16,79.34
2019-03-17,15,1,154,15,30.78000000000001
2019-03-18,44,2,90,42,90.16000000000001
2019-03-19,31,1,201,31,125.74000000000001
2019-03-20,74,4,687,65,223.01999999999998
2019-03-22,23,1,210,23,63.21
2019-03-24,8,1,53,8,63.05
2019-03-25,69,1,684,69,156.6899999999999
2019-03-28,72,3,718,71,214.68999999999988
