invoice_date,purchases,unique_invoices,total_views,unique_streams,revenue
2017-11-28,44,1,367,44,139.02999999999997
2017-11-29,2,1,5,2,4.6
2017-11-30,3,1,2,3,12.850000000000001
2017-12-03,13,1,98,13,49.2
2017-12-04,44,3,444,39,151.98000000000002
2017-12-06,44,4,422,41,376.69999999999993
2017-12-08,5,2,13,5,13.350000000000001
2017-12-10,4,1,34,4,30.32
2017-12-11,190,6,1724,143,489.39000000000004
2017-12-14,1,1,1,1,3.25
2017-12-15,23,5,109,21,105.39000000000001
2017-12-17,17,1,134,17,66.0
2017-12-18,25,1,273,25,76.67999999999999
2017-12-20,5,1,10,5,7.049999999999999
2018-01-01,3,1,8,3,16.29
2018-01-04,14,2,66,14,47.55
2018-01-08,34,4,213,33,111.49000000000001
2018-01-09,89,4,871,80,259.4499999999999
2018-01-10,40,2,347,40,144.57
2018-01-11,47,3,334,46,154.91999999999996
2018-01-12,8,2,26,8,23.27
2018-01-15,2,1,6,2,6.7
2018-01-16,2,1,4,2,3.64
2018-01-19,131,2,1161,122,352.3099999999999
2018-01-21,40,1,332,40,104.06999999999998
2018-01-22,11,1,22,11,34.7
2018-01-23,86,12,841,76,408.53
2018-01-25,9,3,20,9,32.75
2018-01-28,99,1,757,99,288.77999999999975
2018-01-29,39,2,365,38,126.26000000000003
2018-01-30,1,1,3,1,0.85
2018-01-31,4,2,30,4,5.3
2018-02-01,17,2,152,17,48.38000000000001
2018-02-02,47,2,173,45,154.82999999999998
2018-02-04,7,1,43,7,43.1
2018-02-05,60,3,490,54,212.96999999999986
2018-02-06,90,5,780,78,277.8099999999999
2018-02-07,15,1,126,15,53.260000000000005
2018-02-08,17,3,138,17,41.8
2018-02-09,48,3,427,48,103.81999999999998
2018-02-12,50,2,321,49,161.71999999999994
2018-02-13,3,1,6,3,10.85
2018-02-14,2,1,4,2,1.7
2018-02-15,10,1,102,10,20.560000000000006
2018-02-19,1,1,2,1,3.75
2018-02-20,26,7,157,25,79.64999999999999
2018-02-22,10,2,64,9,70.58
2018-02-25,36,2,290,32,127.30000000000001
2018-02-27,17,2,118,17,71.40000000000002
2018-02-28,29,3,180,28,87.22
2018-03-02,31,3,311,29,127.99999999999997
2018-03-04,127,2,1077,125,348.3199999999999
2018-03-05,30,3,233,28,105.00999999999999
2018-03-06,8,2,43,7,181.36999999999995
2018-03-07,23,2,173,23,81.4
2018-03-09,1,1,2,1,1.9500000000000002
2018-03-12,8,2,54,8,42.1
2018-03-13,54,4,371,46,175.73
2018-03-14,38,2,519,38,106.4
2018-03-15,53,2,496,52,155.65999999999997
2018-03-19,42,2,340,38,142.02999999999997
2018-03-20,3,1,6,3,11.45
2018-03-21,7,1,87,7,25.39
2018-03-22,34,3,298,33,152.20000000000002
2018-03-23,109,3,792,107,377.1300000000001
2018-03-26,1,1,3,1,2.1
2018-03-28,5,1,3,5,29.549999999999997
2018-03-29,123,5,1048,97,361.7299999999999
2018-04-04,32,1,302,32,79.94999999999999
2018-04-05,38,2,125,35,72.35000000000001
2018-04-06,81,2,733,74,213.88999999999993
2018-04-08,59,2,730,59,120.31000000000002
2018-04-09,47,3,415,47,431.641
2018-04-11,36,2,312,36,120.09000000000002
2018-04-12,19,1,192,19,41.97
2018-04-13,21,1,131,21,94.07000000000001
2018-04-16,25,1,252,25,49.83000000000001
2018-04-17,40,3,268,37,154.33999999999997
2018-04-18,58,2,659,57,183.82000000000002
2018-04-19,55,4,465,50,164.9200000000001
2018-04-20,10,2,25,10,49.69
2018-04-22,36,1,305,36,101.20000000000002
2018-04-23,71,3,710,62,245.22999999999993
2018-04-25,16,1,111,16,81.60000000000001
2018-04-26,3,1,6,3,14.850000000000001
2018-04-27,19,1,151,19,84.05000000000003
2018-04-29,10,1,96,10,48.45
2018-05-01,8,2,15,8,35.4
2018-05-02,22,1,209,22,63.03999999999999
2018-05-03,48,2,463,48,182.80999999999997
2018-05-07,3,1,11,3,16.15
2018-05-08,7,1,49,7,58.540000000000006
2018-05-09,34,1,297,34,88.61000000000003
2018-05-10,19,1,176,19,62.24000000000001
2018-05-11,9,3,23,9,25.62
2018-05-14,29,1,256,29,104.22000000000001
2018-05-15,16,2,120,16,83.05000000000001
2018-05-16,1,1,4,1,10.95
2018-05-17,21,2,121,21,83.02000000000001
2018-05-18,76,2,558,75,301.1099999999998
2018-05-20,16,1,137,16,47.750000000000014
2018-05-21,14,1,139,14,35.38
2018-05-23,3,2,8,3,20.5
2018-05-24,10,2,73,10,60.95
2018-05-25,37,2,337,35,88.38
2018-05-29,24,2,129,24,101.39000000000001
2018-06-01,30,1,294,30,78.78000000000002
2018-06-03,20,1,279,20,44.900000000000006
2018-06-04,100,6,825,90,364.34999999999974
2018-06-05,22,4,203,22,358.1499999999999
2018-06-07,15,1,136,15,35.32
2018-06-10,23,2,147,23,76.32000000000002
2018-06-12,103,2,1072,102,247.48999999999978
2018-06-13,43,1,374,43,105.43
2018-06-17,12,1,138,12,47.769999999999996
2018-06-21,92,1,926,92,161.19
2018-06-25,43,4,237,42,98.77999999999999
2018-06-26,36,3,345,35,137.60000000000002
2018-06-27,65,4,568,62,248.67999999999995
2018-06-28,47,2,416,45,161.35999999999999
2018-06-29,223,2,1823,209,771.5700000000002
2018-07-02,37,3,253,36,159.80999999999995
2018-07-03,53,3,249,52,256.79999999999995
2018-07-04,21,1,236,21,42.79000000000002
2018-07-05,81,8,779,46,2329.6800000000026
2018-07-06,13,1,89,13,39.260000000000005
2018-07-09,33,1,328,33,82.21000000000001
2018-07-11,2,2,3,2,11.2
2018-07-13,40,2,483,40,102.81000000000002
2018-07-15,59,1,661,59,117.19000000000003
2018-07-16,8,2,33,8,47.339999999999996
2018-07-17,27,1,215,27,87.33999999999999
2018-07-18,73,3,675,70,203.64999999999995
2018-07-19,1,1,1,1,4.95
2018-07-20,48,2,389,47,156.94999999999993
2018-07-23,71,3,488,70,302.95999999999987
2018-07-26,28,2,214,28,84.4
2018-07-27,1,1,2,1,2.55
2018-07-30,13,2,131,13,32.839999999999996
2018-07-31,22,1,215,22,65.78000000000002
2018-08-01,18,1,217,18,50.85
2018-08-02,18,1,149,18,61.69999999999999
2018-08-03,47,2,369,44,153.26000000000002
2018-08-06,2,1,5,2,3.4
2018-08-08,26,2,150,25,119.51
2018-08-09,3,1,2,3,4.75
2018-08-10,2,1,5,2,9.2
2018-08-13,24,1,254,24,50.08000000000001
2018-08-14,21,1,190,21,67.35000000000001
2018-08-15,35,2,298,34,111.32
2018-08-16,24,1,225,24,90.4
2018-08-17,25,2,184,25,87.03000000000002
2018-08-19,23,2,223,23,70.65
2018-08-21,53,3,456,50,136.09999999999997
2018-08-22,32,2,245,31,132.69
2018-08-23,21,3,168,21,104.95000000000003
2018-08-28,27,3,214,26,95.14
2018-08-29,65,5,545,61,168.23
2018-08-30,2,1,15,2,18.85
2018-09-02,27,1,266,27,65.67
2018-09-03,5,1,26,5,26.700000000000003
2018-09-04,14,1,126,14,46.169999999999995
2018-09-05,18,2,188,18,61.519999999999996
2018-09-06,68,4,605,59,185.14000000000001
2018-09-07,35,1,300,35,115.57000000000001
2018-09-10,31,4,273,28,120.49000000000002
2018-09-11,48,4,345,46,240.94
2018-09-12,94,2,1100,89,249.53999999999976
2018-09-13,16,3,51,16,53.62
2018-09-14,21,1,199,21,59.44000000000002
2018-09-17,39,3,343,38,113.36000000000001
2018-09-18,34,3,294,34,101.79000000000002
2018-09-24,44,4,446,44,124.32000000000006
2018-09-25,62,3,453,60,235.8299999999999
2018-09-26,2,1,3,2,14.899999999999999
2018-09-27,104,4,1001,98,266.96999999999986
2018-09-28,33,7,188,30,159.96999999999994
2018-09-30,7,1,63,7,45.04
2018-10-01,70,4,702,66,166.18999999999997
2018-10-02,59,4,466,55,196.39999999999998
2018-10-03,92,1,724,88,307.36999999999983
2018-10-04,30,3,169,29,101.13
2018-10-05,44,2,357,43,164.14999999999998
2018-10-09,80,5,799,74,194.24999999999991
2018-10-10,23,3,135,22,122.05000000000001
2018-10-12,25,2,199,24,139.89
2018-10-15,52,3,437,50,175.46000000000004
2018-10-16,76,4,780,73,273.6299999999999
2018-10-17,14,1,105,14,74.08000000000001
2018-10-18,4,2,10,4,36.85
2018-10-19,26,1,250,26,70.24000000000001
2018-10-21,42,1,388,42,107.81000000000002
2018-10-22,17,1,196,17,68.42000000000002
2018-10-23,56,4,534,48,183.14000000000001
2018-10-24,3,3,7,3,23.490000000000002
