invoice_date,purchases,unique_invoices,total_views,unique_streams,revenue
2017-11-29,23,2,240,22,49.33000000000001
2017-12-01,22,1,195,22,77.52000000000002
2017-12-05,51,1,51,51,104.15
2017-12-13,7,1,76,7,37.25
2017-12-15,52,1,634,52,116.01000000000002
2018-01-08,2,1,7,2,15.64
2018-01-12,9,2,85,8,47.15
2018-01-19,49,2,484,48,90.42000000000002
2018-01-23,91,2,966,90,184.23999999999995
2018-01-31,9,1,66,9,41.5
2018-02-15,59,4,681,58,1091.53
2018-02-21,4,1,35,4,10.169999999999998
2018-02-23,29,4,76,28,71.84000000000002
2018-02-26,1,1,4,1,2.1
2018-02-27,19,1,235,19,23.67
2018-03-05,10,1,101,10,27.700000000000006
2018-03-08,24,1,261,24,69.55000000000003
2018-03-09,32,3,394,32,88.97999999999999
2018-03-11,29,1,343,29,53.81
2018-03-12,1,1,24,1,1.65
2018-03-18,7,1,56,7,26.699999999999996
2018-03-22,7,1,59,7,33.940000000000005
2018-03-23,58,7,708,55,530.1200000000001
2018-03-29,31,1,323,31,44.95999999999999
2018-04-05,13,1,136,13,34.400000000000006
2018-04-06,18,1,145,18,55.800000000000004
2018-04-10,12,1,102,12,42.150000000000006
2018-04-13,27,1,258,27,70.99999999999997
2018-04-15,9,1,68,9,32.790000000000006
2018-04-17,20,1,152,20,60.740000000000016
2018-04-19,16,2,66,15,45.750000000000014
2018-04-27,37,1,289,37,371.91000000000014
2018-04-29,4,1,28,4,19.95
2018-05-03,113,3,1521,87,243.51999999999995
2018-05-07,14,1,169,14,38.1
2018-05-13,28,1,330,28,38.84
2018-05-21,73,1,661,73,201.2
2018-05-22,50,1,470,50,112.64
2018-05-31,73,2,540,69,216.4299999999998
2018-06-15,50,2,489,47,125.47
2018-06-19,8,2,54,8,40.8
2018-06-25,76,3,851,75,169.6599999999999
2018-06-26,10,1,75,10,33.849999999999994
2018-06-28,8,1,56,8,32.89999999999999
2018-07-04,31,1,285,31,88.96000000000002
2018-07-12,8,2,65,7,47.699999999999996
2018-07-16,48,1,545,48,135.70000000000005
2018-07-19,11,1,21,11,43.400000000000006
2018-07-22,3,1,17,3,19.599999999999998
2018-07-23,24,1,296,24,40.25000000000002
2018-07-24,45,1,101,42,103.57000000000002
2018-07-25,1,1,1,1,20.0
2018-08-01,20,1,257,20,41.19000000000002
2018-08-07,91,3,1145,91,454.6100000000001
2018-08-12,15,1,116,15,63.85000000000001
2018-08-14,68,1,706,68,184.7499999999999
2018-08-17,2,1,3,2,16.65
2018-08-21,13,1,196,13,24.189999999999998
2018-08-23,28,1,326,28,64.61000000000001
2018-08-28,27,2,123,26,42.44000000000001
2018-08-29,66,3,615,59,179.20000000000002
2018-08-30,25,2,254,25,63.01999999999999
2018-09-04,1,1,18,1,3.75
2018-09-05,1,1,1,1,25.0
2018-09-07,22,2,184,22,72.56000000000002
2018-09-11,13,1,125,13,43.06
2018-09-12,41,1,441,41,85.67999999999999
2018-09-16,22,1,197,22,48.800000000000004
2018-09-18,18,1,173,18,53.65000000000001
2018-09-20,1,1,1,1,10.0
2018-09-21,115,2,1368,114,260.90999999999985
2018-09-24,38,2,47,38,84.87000000000002
2018-09-25,41,1,366,41,91.57000000000001
2018-09-27,1,1,1,1,15.0
2018-09-28,20,2,199,20,20.020000000000003
2018-10-05,14,4,106,12,69.22
2018-10-10,79,2,988,79,114.39000000000004
2018-10-11,4,1,43,4,20.8
2018-10-12,1,1,20,1,1.65
2018-10-15,1,1,2,1,112.84
2018-10-19,25,2,246,24,61.13
2018-10-22,16,1,110,16,83.42999999999998
2018-10-23,9,1,77,9,30.54
2018-10-25,3,1,6,3,16.75
2018-10-31,80,4,875,75,243.81999999999988
2018-11-05,24,1,189,24,53.120000000000005
2018-11-08,55,1,587,55,99.79000000000003
2018-11-09,2,1,19,2,17.1
2018-11-13,6,1,70,6,21.310000000000002
2018-11-14,38,2,499,38,83.01000000000002
2018-11-15,42,2,356,41,119.51
2018-11-19,94,2,237,94,190.0099999999999
2018-11-20,22,1,186,22,64.25
2018-11-21,25,2,141,25,315.65999999999997
2018-11-26,30,3,349,30,69.14000000000001
2018-11-27,52,3,482,52,89.96999999999998
2018-11-28,4,1,37,2,33.7
2018-12-17,16,1,46,16,46.330000000000005
2018-12-18,54,1,525,54,98.51
2019-01-11,79,1,876,79,125.58000000000001
2019-01-16,33,1,377,33,56.78000000000001
2019-01-17,2,1,24,2,2.12
2019-01-18,106,1,1214,106,235.99999999999994
2019-01-28,9,1,97,9,23.14
2019-01-29,12,1,80,12,53.550000000000004
2019-01-31,1,1,4,1,1.45
2019-02-05,15,2,128,14,46.269999999999996
2019-02-18,119,2,1440,118,273.6599999999999
2019-02-19,44,1,514,44,62.6
2019-03-06,27,1,198,27,76.57000000000001
2019-03-11,8,1,57,8,41.51000000000001
2019-03-19,12,1,99,12,49.29000000000001
2019-03-22,22,2,250,21,81.07
2019-03-26,104,2,1378,103,272.6500000000001
2019-03-27,16,1,261,16,28.38
2019-04-02,15,2,208,15,28.019999999999992
2019-04-25,9,1,132,9,26.91
2019-05-08,9,2,125,8,53.349999999999994
2019-05-09,108,3,1263,106,274.65000000000003
2019-05-15,5,1,63,5,21.679999999999996
2019-05-17,13,1,104,13,68.19
2019-05-22,1,1,7,1,1.45
2019-05-23,50,1,535,50,141.38000000000002
2019-05-28,29,2,205,28,115.6
2019-05-29,26,2,309,23,76.63
2019-05-31,15,1,122,15,34.699999999999996
2019-06-03,25,1,233,25,63.00000000000001
2019-06-06,6,2,47,6,19.750000000000004
2019-06-16,52,1,665,52,89.84000000000006
2019-06-17,59,1,61,59,144.77
2019-06-18,39,1,336,39,125.21000000000001
2019-06-25,103,3,1244,99,248.65999999999988
2019-07-17,10,1,10,10,26.02
