invoice_date,purchases,unique_invoices,total_views,unique_streams,revenue
2017-12-04,21,1,175,21,123.28
2018-03-16,5,5,11,1,33628.549999999996
2018-08-17,9,2,122,9,154.8000000000001
2018-09-13,53,1,498,53,139.73999999999998
2018-10-31,38,1,432,38,65.76
2018-11-02,78,1,801,78,195.28999999999994
2018-11-09,6,1,67,6,12.45
2018-11-26,12,1,93,12,42.15
2018-11-28,146,1,1717,73,205.33999999999972
2018-12-05,148,1,1718,74,272.3199999999999
2019-01-30,17,1,176,17,65.3
2019-02-13,15,1,98,15,68.35000000000001
2019-02-26,11,4,33,6,1741.6499999999999
2019-03-14,7,1,63,7,16.69
2019-03-19,15,2,77,8,73.38
2019-06-17,75,2,785,74,347.71000000000004
2019-06-18,90,1,570,90,473.35999999999984
2019-06-19,1,1,1,1,700.0
2019-07-19,49,1,444,49,168.63
