invoice_date,purchases,unique_invoices,total_views,unique_streams,revenue
2017-11-28,79,1,771,79,208.74999999999986
2017-12-05,19,1,121,19,85.60000000000002
2018-01-23,2,2,3,1,130.85
2018-01-29,24,2,192,24,83.57000000000001
2018-02-07,4,1,43,4,30.12
2018-02-27,35,2,194,35,259.78999999999996
2018-03-05,1,1,4,1,7.95
2018-03-20,2,2,5,2,7.5
2018-03-21,64,1,669,64,156.48999999999998
2018-04-26,6,2,19,6,11.78
2018-05-20,22,1,107,22,161.95
2018-05-21,12,2,72,6,24.22
2018-06-01,4,1,4,4,19.7
2018-06-06,35,1,348,35,91.57000000000004
2018-06-19,23,1,131,23,146.45
2018-06-20,22,1,148,22,100.79
2018-06-25,72,1,541,72,263.11999999999983
2018-07-05,16,1,72,16,96.85000000000001
2018-08-08,15,1,104,15,84.85000000000001
2018-08-23,10,1,85,10,46.89000000000001
2018-08-29,1,1,0,1,4.95
2018-08-31,12,1,95,12,31.1
2018-09-03,36,1,321,36,80.50000000000004
2018-09-13,38,1,285,38,143.85000000000002
2018-09-14,55,1,463,55,126.47000000000006
2018-09-21,5,1,5,5,8.450000000000001
2018-09-23,5,1,16,5,8.45
2018-09-25,5,1,8,5,8.45
2018-09-27,7,1,39,7,22.65
2018-10-02,4,1,13,4,9.4
2018-10-05,14,1,98,14,65.6
2018-10-08,80,3,731,78,270.5799999999998
2018-10-19,1,1,1,1,4.95
2018-10-25,66,1,642,66,126.86000000000007
2018-10-30,1,1,1,1,5.95
2018-10-31,20,1,166,20,73.65
2018-11-06,17,1,140,17,73.20000000000002
2018-11-08,20,1,233,20,93.65
2018-11-13,26,1,201,26,88.95000000000002
2018-11-14,4,2,12,4,23.099999999999998
2018-11-21,104,2,286,95,323.2200000000001
2018-11-23,11,1,83,11,50.400000000000006
2018-11-27,22,1,163,22,87.53999999999999
2018-11-30,14,1,130,7,76.80000000000001
2018-12-03,14,1,106,7,80.20000000000003
2018-12-05,106,1,831,53,384.4399999999999
2018-12-06,26,1,198,13,133.74
2018-12-07,14,1,115,14,67.60000000000001
2018-12-11,4,2,10,4,8.7
2018-12-14,22,1,165,22,84.42000000000002
2019-01-02,4,1,2,4,13.399999999999999
2019-01-06,52,2,471,51,174.81000000000006
2019-01-15,36,1,479,36,114.18
2019-01-23,30,1,210,30,122.94
2019-02-18,43,1,346,43,160.82999999999998
2019-02-25,14,1,104,14,56.15000000000001
2019-03-05,56,1,603,56,113.40000000000002
2019-03-20,16,1,105,16,44.650000000000006
2019-03-21,1,1,1,1,27.0
2019-03-25,25,1,197,25,87.74000000000002
2019-03-28,16,1,157,16,62.09000000000001
2019-04-05,21,1,191,21,50.99000000000001
2019-04-10,56,1,497,56,163.87
2019-05-09,78,3,299,75,1279.4600000000014
2019-05-20,7,7,8,1,6098.360000000001
2019-06-04,14,1,146,14,23.65
2019-06-05,9,1,55,9,31.9
2019-06-12,25,1,186,25,110.23
2019-06-21,1,1,4,1,4.95
2019-07-10,61,2,607,56,150.72000000000003
2019-07-17,28,1,336,28,49.48999999999999
2019-07-31,1,1,1,1,1.25
