invoice_date,purchases,unique_invoices,total_views,unique_streams,revenue
2017-11-30,2,1,2,2,3.35
2017-12-01,18,2,149,17,92.03
2017-12-04,7,1,71,7,58.699999999999996
2017-12-14,3,1,41,3,10.17
2017-12-20,207,2,1929,104,680.9700000000007
2018-01-07,28,1,238,28,110.54000000000003
2018-01-08,2,2,2,1,1410.99
2018-01-10,4,4,7,2,1410.99
2018-01-19,30,1,226,30,124.46000000000001
2018-01-23,4,4,6,1,254.0
2018-01-24,62,1,356,55,107.84000000000005
2018-01-26,2,1,13,2,29.25
2018-01-29,21,3,218,19,117.08000000000001
2018-01-31,2,2,12,2,2.5
2018-02-25,6,1,8,6,33.400000000000006
2018-02-26,15,1,168,15,57.09000000000001
2018-03-06,25,1,243,25,79.75999999999999
2018-03-22,39,2,332,38,139.23000000000002
2018-03-26,13,2,33,10,28.02
2018-03-28,3,1,10,3,7.8500000000000005
2018-04-10,28,2,192,28,128.27000000000004
2018-04-11,1,1,4,1,12.75
2018-04-12,8,1,83,8,37.86000000000001
2018-05-01,41,3,359,39,397.69999999999993
2018-05-10,32,2,276,32,107.19
2018-06-08,3,1,49,3,10.17
2018-06-13,22,1,233,22,69.44000000000001
2018-07-19,4,1,29,4,34.65
2018-07-24,14,2,143,14,41.32
2018-07-25,53,1,328,50,151.46999999999994
2018-07-31,1,1,5,1,25.0
2018-08-09,14,1,111,14,16.38
2018-08-10,5,1,18,4,28.95
2018-08-16,3,1,4,3,16.5
2018-08-19,11,1,89,11,20.09
2018-08-28,27,1,281,27,105.16000000000001
2018-08-31,1,1,2,1,4.95
2018-09-03,41,1,376,41,112.04999999999998
2018-09-11,5,1,70,5,7.700000000000001
2018-09-12,24,1,227,24,82.51000000000002
2018-09-14,69,2,584,68,211.79999999999993
2018-09-19,2,1,6,2,3.0999999999999996
2018-09-26,25,1,240,25,99.47000000000003
2018-09-28,11,1,105,11,49.71000000000001
2018-09-30,14,1,185,14,26.039999999999996
2018-10-02,59,1,134,56,106.52000000000007
2018-10-10,51,1,510,51,135.18000000000004
2018-10-11,8,1,119,8,25.34
2018-10-12,20,1,144,20,55.34000000000001
2018-10-15,1,1,1,1,220.0
2018-10-16,16,2,92,8,47.449999999999996
2018-10-17,16,1,126,16,72.06000000000002
2018-10-19,20,1,194,20,58.490000000000016
2018-10-30,13,1,33,13,118.70000000000002
2018-11-01,12,2,91,12,99.25000000000003
2018-11-02,13,1,119,13,41.7
2018-11-06,16,2,86,8,44.21999999999999
2018-11-16,5,1,23,5,67.6
2018-11-23,31,2,287,31,118.9
2018-11-30,10,1,93,5,15.7
2018-12-06,80,1,134,40,257.9399999999999
2018-12-10,20,1,175,20,97.14000000000003
2018-12-14,10,1,100,10,16.8
2019-01-03,1,1,3,1,1126.0
2019-01-04,98,1,536,98,286.6399999999999
2019-01-07,93,1,592,93,401.5999999999998
2019-01-08,35,2,368,35,131.34
2019-01-15,29,1,269,29,95.60000000000001
2019-01-16,23,1,48,23,64.78999999999999
2019-01-17,1,1,4,1,10.95
2019-01-21,11,1,87,11,45.73000000000001
2019-01-24,94,2,596,94,2117.45
2019-01-29,12,1,102,12,49.45
2019-01-31,31,1,171,31,165.06999999999996
2019-02-06,40,1,277,40,183.92999999999992
2019-02-11,13,1,152,13,52.470000000000006
2019-02-15,4,1,7,4,20.8
2019-03-01,23,2,212,22,89.39000000000001
2019-03-04,3,1,6,3,22.5
2019-03-13,61,2,366,58,331.4499999999999
2019-03-19,44,1,335,44,195.98999999999992
2019-03-21,34,1,411,34,108.13000000000002
2019-03-22,34,1,319,34,115.24999999999999
2019-03-25,5,1,48,5,7.65
2019-04-08,15,1,116,15,63.38000000000002
2019-04-18,58,1,389,58,261.21999999999986
2019-04-25,23,1,218,23,72.05
2019-05-01,41,1,455,41,108.68000000000004
2019-05-03,15,1,88,15,113.10000000000001
2019-05-23,2,1,11,2,28.85
2019-05-28,47,1,422,47,169.03
2019-05-31,13,1,93,13,59.51999999999998
2019-06-03,23,1,124,23,128.61
2019-06-06,48,1,298,48,234.25999999999993
2019-06-13,61,1,386,61,221.21999999999986
2019-06-16,32,4,313,31,120.88000000000001
2019-06-23,5,1,49,5,33.6
2019-07-01,15,1,160,15,30.069999999999997
2019-07-03,13,2,137,13,42.50000000000001
2019-07-04,27,3,160,26,138.99999999999994
2019-07-08,67,1,166,60,180.73999999999995
2019-07-17,4,1,19,4,45.09
2019-07-22,47,1,479,47,164.83
2019-07-25,8,1,57,8,45.4
