invoice_date,purchases,unique_invoices,total_views,unique_streams,revenue
2017-11-28,3223,166,15047,1345,14450.540000000325
2017-11-29,3277,133,14159,1397,13411.960000000328
2017-11-30,3002,150,15766,1335,13290.250000000262
2017-12-01,2559,107,12524,1256,9687.280000000057
2017-12-02,402,32,3313,287,1443.2600000000011
2017-12-03,1942,90,8544,977,6432.939999999952
2017-12-04,2869,123,12751,1354,13137.500000000222
2017-12-05,2440,170,12604,1196,9467.010000000033
2017-12-06,2470,114,10510,1308,11268.54000000006
2017-12-07,2492,123,11985,1229,10976.600000000073
2017-12-08,1542,121,7922,876,4898.319999999972
2017-12-10,1776,77,8521,980,4982.869999999973
2017-12-11,4117,122,17017,1596,19866.98000000031
2017-12-12,2004,123,11127,1031,10012.130000000036
2017-12-13,3216,106,14280,1421,15879.660000000289
2017-12-14,1965,162,9505,1067,7701.579999999948
2017-12-15,2057,84,8973,1123,10970.560000000138
2017-12-17,637,40,4013,468,1964.7900000000047
2017-12-18,645,52,3212,467,2846.579999999992
2017-12-19,2053,203,5218,1146,13350.100000000077
2017-12-20,540,32,3028,377,2268.309999999997
2018-01-01,668,70,3005,521,1966.550000000005
2018-01-02,938,46,5603,634,3061.269999999997
2018-01-03,294,14,1994,250,965.8500000000016
2018-01-04,1065,87,8499,695,3373.1599999999894
2018-01-05,719,49,5463,505,4979.929999999986
2018-01-07,704,37,4702,489,2080.1000000000076
2018-01-08,2688,74,8682,1082,14429.400000000163
2018-01-09,1107,65,5678,775,3799.5799999999917
2018-01-10,1644,64,5706,927,11600.810000000054
2018-01-11,2230,87,9615,1062,12228.63000000008
2018-01-12,662,53,4534,441,2084.960000000004
2018-01-14,1116,41,5700,684,3438.3099999999854
2018-01-15,1908,50,6112,1008,8908.330000000016
2018-01-16,1859,51,8924,1068,7847.690999999996
2018-01-17,1224,80,5168,810,7021.909999999994
2018-01-18,1228,88,7288,780,3854.5999999999813
2018-01-19,1520,77,8369,888,9419.020000000019
2018-01-21,1271,52,5892,706,4022.2299999999764
2018-01-22,1699,72,7689,920,7017.8099999999695
2018-01-23,1588,168,8009,853,15461.130000000103
2018-01-24,1560,85,7649,887,6385.549999999985
2018-01-25,1254,83,7821,752,3804.139999999985
2018-01-26,1209,82,6193,718,23966.84099999995
2018-01-28,1400,58,7490,796,3953.5599999999804
2018-01-29,1399,82,6337,841,7421.110999999983
2018-01-30,1177,60,7143,744,4616.5299999999725
2018-01-31,1551,150,7229,949,5971.390999999984
2018-02-01,1590,143,8239,894,4837.899999999967
2018-02-02,1077,147,5556,710,4328.159999999993
2018-02-04,844,35,3803,558,2310.459999999998
2018-02-05,1373,75,6617,789,6838.369999999995
2018-02-06,1058,58,6954,670,3607.209999999988
2018-02-07,884,38,2974,627,4111.6899999999805
2018-02-08,871,101,4781,554,2901.149999999991
2018-02-09,824,75,4153,612,3009.969999999987
2018-02-11,1194,51,6478,710,3554.9899999999825
2018-02-12,899,55,6991,571,5680.740999999991
2018-02-13,1950,109,9178,1095,8022.729999999969
2018-02-14,1050,64,6888,676,3361.3899999999853
2018-02-15,1390,91,8389,788,5028.669999999965
2018-02-16,1634,64,5494,923,7938.450000000003
2018-02-18,981,60,4351,616,3367.130999999978
2018-02-19,1156,86,8322,695,3731.489999999982
2018-02-20,1214,88,6589,768,4217.939999999986
2018-02-21,1390,123,6950,836,5192.740999999978
2018-02-22,1561,91,9503,870,5217.099999999964
2018-02-23,1028,65,4703,704,7546.430999999987
2018-02-25,1293,58,5616,739,3960.7899999999745
2018-02-26,1230,97,7039,804,4471.599999999968
2018-02-27,1619,137,7563,976,6904.309999999994
2018-02-28,1763,84,10398,1024,6203.959999999964
2018-03-01,1937,102,11677,1009,7608.819999999953
2018-03-02,1269,86,6456,772,5063.209999999978
2018-03-04,1802,67,8424,1083,6232.909999999957
2018-03-05,1972,109,8910,1068,9686.82999999994
2018-03-06,1254,105,7080,784,6752.6799999999685
2018-03-07,1607,84,8572,934,6373.6099999999915
2018-03-08,1319,76,6657,858,5420.859999999985
2018-03-09,932,54,5351,661,3744.0900000000015
2018-03-11,669,25,2964,447,1817.5800000000036
2018-03-12,1690,82,7051,979,7573.530999999985
2018-03-13,1396,94,7229,831,5195.8999999999705
2018-03-14,1293,56,7873,778,4263.499999999966
2018-03-15,1591,97,9830,847,6450.7199999999775
2018-03-16,1408,92,7221,757,48929.06999999991
2018-03-18,1392,64,6922,799,4007.2199999999752
2018-03-19,1553,104,8340,896,6600.9699999999675
2018-03-20,1315,84,6541,751,52515.16999999939
2018-03-21,1594,117,8893,871,9218.690000000033
2018-03-22,1899,112,10163,946,19204.28000000016
2018-03-23,1388,86,7721,884,5331.209999999987
2018-03-25,1838,60,9368,904,4761.22999999998
2018-03-26,1983,98,9528,1035,8616.999999999964
2018-03-27,1900,108,10054,1011,7485.14999999996
2018-03-28,1898,87,8989,954,7870.139999999959
2018-03-29,1719,113,9504,927,6704.069999999963
2018-04-03,1106,67,5633,700,3875.0999999999694
2018-04-04,1385,72,7822,829,4907.66999999996
2018-04-05,2024,96,11108,1023,7273.149999999966
2018-04-06,919,57,5416,600,3490.169999999985
2018-04-08,1114,44,6339,664,3202.429999999993
2018-04-09,1012,86,6696,610,3510.4709999999855
2018-04-10,1318,92,6755,756,4270.259999999978
2018-04-11,1129,64,7653,625,3469.879999999987
2018-04-12,1162,89,7518,657,24266.590000000095
2018-04-13,869,48,5843,588,2551.879999999999
2018-04-15,1457,57,6665,752,5620.1399999999785
2018-04-16,3132,86,11913,1257,15653.439999999906
2018-04-17,1540,78,8039,828,13939.590000000082
2018-04-18,1325,86,8183,740,8380.569999999992
2018-04-19,1549,132,9964,813,17109.400000000045
2018-04-20,1157,70,6662,667,5920.14999999999
2018-04-22,1339,50,6233,731,4403.149999999973
2018-04-23,1962,120,9368,931,9095.379999999965
2018-04-24,1686,106,11172,850,5622.5599999999595
2018-04-25,1787,79,11301,905,5885.789999999979
2018-04-26,2058,106,11371,1046,-44990.04900000062
2018-04-27,1308,94,6686,755,6546.579999999978
2018-04-29,845,43,4605,534,2638.0399999999954
2018-05-01,1458,101,7530,827,7857.459999999983
2018-05-02,1591,117,7896,837,7172.599999999967
2018-05-03,2132,128,13295,979,9737.41000000004
2018-05-04,1365,88,9541,815,4199.14999999997
2018-05-06,1755,64,8595,900,5212.679999999965
2018-05-07,1702,120,9179,953,8630.930000000006
2018-05-08,1786,180,10506,1006,6422.699999999971
2018-05-09,1316,138,7830,804,4590.299999999984
