invoice_date,purchases,unique_invoices,total_views,unique_streams,revenue
2017-11-28,2953,154,12922,1291,13281.120000000281
2017-11-29,3217,125,13650,1389,13222.97000000031
2017-11-30,2911,144,15243,1318,12941.500000000246
2017-12-01,2443,100,11652,1221,9163.070000000029
2017-12-02,370,31,3101,263,1263.2800000000009
2017-12-03,1888,87,8096,964,6229.109999999952
2017-12-04,2684,110,11202,1301,12189.79000000019
2017-12-05,2283,157,11906,1151,8892.26999999999
2017-12-06,2423,108,10071,1292,10886.990000000053
2017-12-07,2403,116,11572,1192,10651.38000000005
2017-12-08,1535,117,7902,875,4864.069999999974
2017-12-10,1678,71,7685,935,4568.1999999999825
2017-12-11,3851,113,14845,1568,19097.67000000029
2017-12-12,1896,119,10331,1000,9518.670000000011
2017-12-13,3137,101,13689,1409,15610.170000000273
2017-12-14,1944,157,9346,1062,6003.739999999948
2017-12-15,1732,71,6557,1011,9560.020000000062
2017-12-17,573,37,3381,418,1811.5100000000054
2017-12-18,576,49,2473,427,2650.7099999999955
2017-12-19,2032,202,5056,1136,13254.540000000074
2017-12-20,328,29,1089,286,1580.2900000000013
2018-01-01,663,68,2993,520,1936.2600000000048
2018-01-02,938,46,5603,634,3061.269999999997
2018-01-03,294,14,1994,250,965.8500000000016
2018-01-04,846,78,6108,586,2777.019999999998
2018-01-05,533,41,3793,380,1893.6700000000042
2018-01-07,676,36,4464,475,1969.560000000007
2018-01-08,2605,63,7931,1057,12781.810000000072
2018-01-09,1017,60,4806,730,3535.1299999999956
2018-01-10,1552,51,5034,892,7670.260000000009
2018-01-11,2141,83,8905,1022,11974.440000000066
2018-01-12,554,45,3715,375,1699.2700000000045
2018-01-14,1116,41,5700,684,3438.3099999999854
2018-01-15,1879,48,5934,993,8679.83000000001
2018-01-16,1639,44,7538,990,7036.980999999999
2018-01-17,1207,74,5001,809,4729.539999999989
2018-01-18,1095,85,5824,712,3402.0599999999918
2018-01-19,1186,66,5568,766,5207.340000000002
2018-01-21,1231,51,5560,685,3918.159999999978
2018-01-22,1650,69,7339,905,6752.709999999972
2018-01-23,1345,124,5821,783,12331.510000000086
2018-01-24,1443,82,6878,835,6081.759999999987
2018-01-25,1182,78,7277,724,3580.9199999999873
2018-01-26,1207,81,6180,717,23937.59099999995
