unique_id,timestamp,tag,y_pred,target_date,runtime,model_version,model_note
78b2bb7d-c15b-4994-91bb-c70fcefb79aa,1607060989.956814,TOTAL,[258334.52361077],2019-10-03,000:00:00,0.1,supervised learing model for time-series
134cccd1-7042-4532-a1b7-4577375ab577,1607060990.7459555,TOTAL,[251319.18350925],2019-09-29,000:00:00,0.1,supervised learing model for time-series
eb2326ca-8280-4a86-a5b3-68cf05bdfb6d,1607060991.5641606,TOTAL,[198946.72901895],2019-08-28,000:00:00,0.1,supervised learing model for time-series
ffca9488-1daf-4394-af8e-49b672ae0137,1607060992.39825,TOTAL,[141713.86228034],2019-08-06,000:00:00,0.1,supervised learing model for time-series
2645c853-65e2-43ae-ba72-dfd9bdd15313,1607060993.1693156,TOTAL,[149286.16545369],2019-08-13,000:00:00,0.1,supervised learing model for time-series
1d586b7c-baf6-480e-9190-9873398f4ff7,1607060993.9864666,TOTAL,[251319.18350925],2019-09-29,000:00:00,0.1,supervised learing model for time-series
1a0ac650-df04-4374-9af7-83a25ded8857,1607060994.827581,TOTAL,[379810.93818044],2019-11-04,000:00:00,0.1,supervised learing model for time-series
4fd43ad0-f3bd-4583-be15-9cc0db4d3e40,1607060995.905069,TOTAL,[223464.20354089],2019-09-21,000:00:01,0.1,supervised learing model for time-series
edd09c7d-a8f8-4f20-a2e2-c640add268b4,1607060996.7048478,TOTAL,[292163.62629879],2019-10-13,000:00:00,0.1,supervised learing model for time-series
aa88bedf-dc18-4c29-b207-1f5bfa6bcac4,1607060997.5189812,TOTAL,[226975.24518414],2019-09-12,000:00:00,0.1,supervised learing model for time-series
58055a4d-d97b-403c-8cf6-05bee4e44473,1607060998.319559,TOTAL,[140343.09808852],2019-08-10,000:00:00,0.1,supervised learing model for time-series
0903a2ec-523e-4915-a4b4-393e3f19f774,1607060999.1918359,TOTAL,[329242.93869833],2019-10-27,000:00:00,0.1,supervised learing model for time-series
9be79760-c7b1-417d-a743-1aa1e0f734d3,1607061000.2158265,TOTAL,[251319.18350925],2019-09-29,000:00:01,0.1,supervised learing model for time-series
9e34857d-3759-4b2d-818e-18f9ad79f9a6,1607061001.2635963,TOTAL,[189277.16086558],2019-08-23,000:00:01,0.1,supervised learing model for time-series
9f5095db-9487-4794-880e-e5c43a58c392,1607061002.2419872,TOTAL,[307930.83676842],2019-10-15,000:00:00,0.1,supervised learing model for time-series
a9e89904-f559-4217-bd11-67c7bcefa37a,1607061003.176356,TOTAL,[141857.52941181],2019-08-08,000:00:00,0.1,supervised learing model for time-series
d2e9fe93-3328-4d2b-ab7e-e47b08a74ef0,1607061004.2005475,TOTAL,[218775.51471478],2019-09-15,000:00:01,0.1,supervised learing model for time-series
f2c6a474-00eb-4797-a657-c03b85692f03,1607061005.1535285,TOTAL,[229785.23802724],2019-09-18,000:00:00,0.1,supervised learing model for time-series
